acc,accuracy,average_response_time,avg_rt,background,batchId,batchTitle,bidi,block,browser,canvas_backend,clock_backend,color_backend,compensation,componentId,componentPos,componentResultId,componentTitle,coordinates,correct,count_Clearscreen,count_Duration,count_GreenDot,count_Instructions,count_Instructions2,count_IsI,count_RedDot,count_TimeEnd,count_Trial,count_experiment,count_loopBlock2,count_mainloop,count_new_logger,count_new_sketchpad,count_new_sketchpad_1,count_osweb,count_pauze,date,datetime,delay_Duration,delay_IsI,description,disable_garbage_collection,duration,experiment,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,groupMemberId,groupResultId,height,keyboard_backend,mouse_backend,opensesame_codename,opensesame_version,response,response_Instructions,response_Instructions2,response_TimeEnd,response_pauze,response_time,response_time_Instructions,response_time_Instructions2,response_time_TimeEnd,response_time_pauze,round_decimals,sampler_backend,screen,sessionid,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,studyId,studyResultId,studyTitle,subject_nr,subject_parity,system,time_Clearscreen,time_Duration,time_GreenDot,time_Instructions,time_Instructions2,time_IsI,time_RedDot,time_TimeEnd,time_loopBlock2,time_mainloop,time_new_logger,time_new_sketchpad_1,time_pauze,title,total_correct,total_response_time,total_responses,uniform_coordinates,w,width,workerId
0,0,1011,1011,black,48,Default,no,1,,xpyriment,legacy,legacy,0,45,1,411,OSWeb experiment,uniform,undefined,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Fri Nov 15 2019 10:33:41 GMT+0100 (Central European Standard Time),816,2835,The main experiment item,yes,1535,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,space,,space,,1011,23132,,1011,,2,legacy,,1573810423788,1024,2,48000,-16,experiment,45,411,TimingLong,999999999,odd,,29474,27623,26078,69,,23225,28458,28459,69,69,29474,23211,,TimingLong,0,1011,1,yes,8,1024,482
0,0,798,798,black,48,Default,no,1,,xpyriment,legacy,legacy,0,45,1,411,OSWeb experiment,uniform,undefined,3,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,,Fri Nov 15 2019 10:33:41 GMT+0100 (Central European Standard Time),803,2824,The main experiment item,yes,1165,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,space,,space,,585,23132,,585,,2,legacy,,1573810423788,1024,2,48000,-16,experiment,45,411,TimingLong,999999999,odd,,34939,33523,32344,69,,29502,34340,34340,69,69,34939,23211,,TimingLong,0,1596,2,yes,8,1024,482
0,0,761,761,black,48,Default,no,1,,xpyriment,legacy,legacy,0,45,1,411,OSWeb experiment,uniform,undefined,5,2,2,0,0,2,2,2,2,0,0,0,2,0,1,0,0,,Fri Nov 15 2019 10:33:41 GMT+0100 (Central European Standard Time),808,3034,The main experiment item,yes,1395,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,space,,space,,686,23132,,686,,2,legacy,,1573810423788,1024,2,48000,-16,experiment,45,411,TimingLong,999999999,odd,,40906,39391,37991,69,,34944,40207,40207,69,69,40906,23211,,TimingLong,0,2282,3,yes,8,1024,482
0,0,736,736,black,48,Default,no,1,,xpyriment,legacy,legacy,0,45,1,411,OSWeb experiment,uniform,undefined,7,3,3,0,0,3,3,3,3,0,0,0,3,0,1,0,0,,Fri Nov 15 2019 10:33:41 GMT+0100 (Central European Standard Time),727,2890,The main experiment item,yes,1265,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,space,,space,,660,23132,,660,,2,legacy,,1573810423788,1024,2,48000,-16,experiment,45,411,TimingLong,999999999,odd,,46490,45091,43808,69,,40911,45827,45827,69,69,46490,23211,,TimingLong,0,2942,4,yes,8,1024,482
0,0,774,774,black,48,Default,no,1,,xpyriment,legacy,legacy,0,45,1,411,OSWeb experiment,uniform,undefined,9,4,4,0,0,4,4,4,4,0,0,0,4,0,1,0,0,,Fri Nov 15 2019 10:33:41 GMT+0100 (Central European Standard Time),842,3002,The main experiment item,yes,1395,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,space,,space,,927,23132,,927,,2,legacy,,1573810423788,1024,2,48000,-16,experiment,45,411,TimingLong,999999999,odd,,52692,50908,49508,69,,46501,51759,51759,69,69,52692,23211,,TimingLong,0,3869,5,yes,8,1024,482
0,0,767,767,black,48,Default,no,1,,xpyriment,legacy,legacy,0,45,1,411,OSWeb experiment,uniform,undefined,11,5,5,0,0,5,5,5,5,0,0,0,5,0,1,0,0,,Fri Nov 15 2019 10:33:41 GMT+0100 (Central European Standard Time),821,3217,The main experiment item,yes,1265,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,space,,space,,732,23132,,732,,2,legacy,,1573810423788,1024,2,48000,-16,experiment,45,411,TimingLong,999999999,odd,,58807,57224,55942,69,,52707,58059,58059,69,69,58807,23211,,TimingLong,0,4601,6,yes,8,1024,482
0,0,751,751,black,48,Default,no,1,,xpyriment,legacy,legacy,0,45,1,411,OSWeb experiment,uniform,undefined,13,6,6,0,0,6,6,6,6,0,0,0,6,0,1,0,0,,Fri Nov 15 2019 10:33:41 GMT+0100 (Central European Standard Time),761,2946,The main experiment item,yes,1165,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,space,,space,,658,23132,,658,,2,legacy,,1573810423788,1024,2,48000,-16,experiment,45,411,TimingLong,999999999,odd,,64373,62941,61774,69,,58817,63708,63708,69,69,64373,23211,,TimingLong,0,5259,7,yes,8,1024,482
0,0,737,737,black,48,Default,no,1,,xpyriment,legacy,legacy,0,45,1,411,OSWeb experiment,uniform,undefined,15,7,7,0,0,7,7,7,7,0,0,0,7,0,1,0,0,,Fri Nov 15 2019 10:33:41 GMT+0100 (Central European Standard Time),858,3049,The main experiment item,yes,1165,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,space,,space,,635,23132,,635,,2,legacy,,1573810423788,1024,2,48000,-16,experiment,45,411,TimingLong,999999999,odd,,70141,68624,67442,69,,64384,69492,69492,69,69,70141,23211,,TimingLong,0,5894,8,yes,8,1024,482
0,0,731,731,black,48,Default,no,1,,xpyriment,legacy,legacy,0,45,1,411,OSWeb experiment,uniform,undefined,17,8,8,0,0,8,8,8,8,0,0,0,8,0,1,0,0,,Fri Nov 15 2019 10:33:41 GMT+0100 (Central European Standard Time),743,3215,The main experiment item,yes,1165,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,space,,space,,689,23132,,689,,2,legacy,,1573810423788,1024,2,48000,-16,experiment,45,411,TimingLong,999999999,odd,,76007,74558,73377,69,,70151,75309,75309,69,69,76007,23211,,TimingLong,0,6583,9,yes,8,1024,482
0,0,700,700,black,48,Default,no,1,,xpyriment,legacy,legacy,0,45,1,411,OSWeb experiment,uniform,undefined,19,9,9,0,0,9,9,9,9,0,0,0,9,0,1,0,0,,Fri Nov 15 2019 10:33:41 GMT+0100 (Central European Standard Time),811,2943,The main experiment item,yes,1675,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,space,,space,,419,23132,,419,,2,legacy,,1573810423788,1024,2,48000,-16,experiment,45,411,TimingLong,999999999,odd,,81907,80658,78979,69,,76018,81475,81475,69,69,81907,23211,,TimingLong,0,7002,10,yes,8,1024,482
