acc,accuracy,average_response_time,avg_rt,background,batchId,batchTitle,bidi,block,browser,canvas_backend,clock_backend,color_backend,compensation,componentId,componentPos,componentResultId,componentTitle,coordinates,correct,count_Clearscreen,count_Duration,count_GreenDot,count_Instructions,count_Instructions2,count_IsI,count_RedDot,count_TimeEnd,count_Trial,count_experiment,count_loopBlock2,count_mainloop,count_new_logger,count_new_sketchpad,count_new_sketchpad_1,count_osweb,count_pauze,date,datetime,delay_Duration,delay_IsI,description,disable_garbage_collection,duration,experiment,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,groupMemberId,groupResultId,height,keyboard_backend,mouse_backend,opensesame_codename,opensesame_version,response,response_Instructions,response_Instructions2,response_TimeEnd,response_pauze,response_time,response_time_Instructions,response_time_Instructions2,response_time_TimeEnd,response_time_pauze,round_decimals,sampler_backend,screen,sessionid,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,studyId,studyResultId,studyTitle,subject_nr,subject_parity,system,time_Clearscreen,time_Duration,time_GreenDot,time_Instructions,time_Instructions2,time_IsI,time_RedDot,time_TimeEnd,time_loopBlock2,time_mainloop,time_new_logger,time_new_sketchpad_1,time_pauze,title,total_correct,total_response_time,total_responses,uniform_coordinates,w,width,workerId
0,0,724,724,black,47,Default,no,1,,xpyriment,legacy,legacy,0,44,1,350,OSWeb experiment,uniform,undefined,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Fri Nov 15 2019 09:01:13 GMT+0100 (Central European Standard Time),757,2844,The main experiment item,yes,1165,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,space,,space,,724,28888,,724,,2,legacy,,1573804945264,1024,2,48000,-16,experiment,44,350,TimingShort,0,even,,34494,32995,31814,58,,28952,33762,33762,58,58,34495,28948,,TimingShort,0,724,1,yes,8,1024,421
0,0,1119,1119,black,47,Default,no,1,,xpyriment,legacy,legacy,0,44,1,350,OSWeb experiment,uniform,undefined,3,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,,Fri Nov 15 2019 09:01:13 GMT+0100 (Central European Standard Time),891,3114,The main experiment item,yes,1675,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,space,,space,,1514,28888,,1514,,2,legacy,,1573804945264,1024,2,48000,-16,experiment,44,350,TimingShort,0,even,,41728,39312,37629,58,,34500,40212,40212,58,58,41728,28948,,TimingShort,0,2238,2,yes,8,1024,421
0,0,1250,1250,black,47,Default,no,1,,xpyriment,legacy,legacy,0,44,1,350,OSWeb experiment,uniform,undefined,5,2,2,0,0,2,2,2,2,0,0,0,2,0,1,0,0,,Fri Nov 15 2019 09:01:13 GMT+0100 (Central European Standard Time),839,3003,The main experiment item,yes,1265,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,space,,space,,1512,28888,,1512,,2,legacy,,1573804945264,1024,2,48000,-16,experiment,44,350,TimingShort,0,even,,48394,46030,44746,58,,41732,46878,46878,58,58,48394,28948,,TimingShort,0,3750,3,yes,8,1024,421
0,0,1196,1196,black,47,Default,no,1,,xpyriment,legacy,legacy,0,44,1,350,OSWeb experiment,uniform,undefined,7,3,3,0,0,3,3,3,3,0,0,0,3,0,1,0,0,,Fri Nov 15 2019 09:01:13 GMT+0100 (Central European Standard Time),789,3064,The main experiment item,yes,1535,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,space,,space,,1033,28888,,1033,,2,legacy,,1573804945264,1024,2,48000,-16,experiment,44,350,TimingShort,0,even,,54878,53028,51479,58,,48399,53829,53829,58,58,54878,28948,,TimingShort,0,4783,4,yes,8,1024,421
0,0,1231,1231,black,47,Default,no,1,,xpyriment,legacy,legacy,0,44,1,350,OSWeb experiment,uniform,undefined,9,4,4,0,0,4,4,4,4,0,0,0,4,0,1,0,0,,Fri Nov 15 2019 09:01:13 GMT+0100 (Central European Standard Time),836,3242,The main experiment item,yes,1395,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,space,,space,,1371,28888,,1371,,2,legacy,,1573804945264,1024,2,48000,-16,experiment,44,350,TimingShort,0,even,,61761,59529,58129,58,,54884,60379,60379,58,58,61761,28948,,TimingShort,0,6154,5,yes,8,1024,421
0,0,1294,1294,black,47,Default,no,1,,xpyriment,legacy,legacy,0,44,1,350,OSWeb experiment,uniform,undefined,11,5,5,0,0,5,5,5,5,0,0,0,5,0,1,0,0,,Fri Nov 15 2019 09:01:13 GMT+0100 (Central European Standard Time),792,3214,The main experiment item,yes,1675,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,space,,space,,1607,28888,,1607,,2,legacy,,1573804945264,1024,2,48000,-16,experiment,44,350,TimingShort,0,even,,69096,66679,64996,58,,61767,67479,67479,58,58,69096,28948,,TimingShort,0,7761,6,yes,8,1024,421
0,0,1298,1298,black,47,Default,no,1,,xpyriment,legacy,legacy,0,44,1,350,OSWeb experiment,uniform,undefined,13,6,6,0,0,6,6,6,6,0,0,0,6,0,1,0,0,,Fri Nov 15 2019 09:01:13 GMT+0100 (Central European Standard Time),723,2916,The main experiment item,yes,1395,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,space,,space,,1324,28888,,1324,,2,legacy,,1573804945264,1024,2,48000,-16,experiment,44,350,TimingShort,0,even,,75495,73430,72029,58,,69102,74162,74162,58,58,75495,28948,,TimingShort,0,9085,7,yes,8,1024,421
0,0,1299,1299,black,47,Default,no,1,,xpyriment,legacy,legacy,0,44,1,350,OSWeb experiment,uniform,undefined,15,7,7,0,0,7,7,7,7,0,0,0,7,0,1,0,0,,Fri Nov 15 2019 09:01:13 GMT+0100 (Central European Standard Time),830,3115,The main experiment item,yes,1535,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,space,,space,,1305,28888,,1305,,2,legacy,,1573804945264,1024,2,48000,-16,experiment,44,350,TimingShort,0,even,,82328,80179,78629,58,,75502,81013,81013,58,58,82328,28948,,TimingShort,0,10390,8,yes,8,1024,421
0,0,1233,1233,black,47,Default,no,1,,xpyriment,legacy,legacy,0,44,1,350,OSWeb experiment,uniform,undefined,17,8,8,0,0,8,8,8,8,0,0,0,8,0,1,0,0,,Fri Nov 15 2019 09:01:13 GMT+0100 (Central European Standard Time),778,2758,The main experiment item,yes,1165,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,space,,space,,710,28888,,710,,2,legacy,,1573804945264,1024,2,48000,-16,experiment,44,350,TimingShort,0,even,,87795,86296,85114,58,,82336,87080,87080,58,58,87795,28948,,TimingShort,0,11100,9,yes,8,1024,421
0,0,1232,1232,black,47,Default,no,1,,xpyriment,legacy,legacy,0,44,1,350,OSWeb experiment,uniform,undefined,19,9,9,0,0,9,9,9,9,0,0,0,9,0,1,0,0,,Fri Nov 15 2019 09:01:13 GMT+0100 (Central European Standard Time),868,2960,The main experiment item,yes,1165,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,space,,space,,1217,28888,,1217,,2,legacy,,1573804945264,1024,2,48000,-16,experiment,44,350,TimingShort,0,even,,94079,91962,90781,58,,87802,92845,92845,58,58,94079,28948,,TimingShort,0,12317,10,yes,8,1024,421
